weighting,ln_estimation,ln_spending_def,min_n_per_age,age_sq,age,ln_exp,ln_exp_se,ln_exp_pval,constant,r2_polynomial,r2_full,mean_change,n_households,n_observations,n_ages,age_range,smile_minimum_age
weighted,conditional,current,20,4.6175497294561315e-05,-0.008187435868547739,0.04790159546957816,0.0051496449873550815,1.8879985286305129e-19,-0.15178724927277815,0.13689182304470515,0.12868819389930053,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,conditional,current,30,7.965306974005163e-05,-0.013234806737986384,0.049416284327530466,0.005315325365771925,2.0182967007537205e-19,0.021613955689692974,0.15420396847146933,0.12879160396302958,-0.009421942279291896,672,2511,24,62-85,83.07781973236105
weighted,unconditional,baseline,10,4.6175497294561315e-05,-0.008187435868547739,-0.05689784841322473,0.0046588014999960955,3.8365397431171003e-31,0.9408039907921641,0.13689182304470515,,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,unconditional,baseline,20,4.6175497294561315e-05,-0.008187435868547739,-0.05689784841322473,0.0046588014999960955,3.8365397431171003e-31,0.9408039907921641,0.13689182304470515,,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,unconditional,baseline,30,7.965306974005163e-05,-0.013234806737986384,-0.05506787819034374,0.0048139326727033045,8.375863406393351e-28,1.1109391466049094,0.15420396847146933,,-0.009421942279291896,672,2511,24,62-85,83.07781973236105
weighted,unconditional,mean,10,4.6175497294561315e-05,-0.008187435868547739,0.0016812148794025485,0.006062184297890341,0.7816127402752585,0.32422119078674677,0.13689182304470515,,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,unconditional,mean,20,4.6175497294561315e-05,-0.008187435868547739,0.0016812148794025485,0.006062184297890341,0.7816127402752585,0.32422119078674677,0.13689182304470515,,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,unconditional,mean,30,7.965306974005163e-05,-0.013234806737986384,0.0014771536015688105,0.006218319493582558,0.8123037774531328,0.515624379597839,0.15420396847146933,,-0.009421942279291896,672,2511,24,62-85,83.07781973236105
weighted,unconditional,lagged,10,4.6175497294561315e-05,-0.008187435868547739,-0.022835463231963546,0.005857452927539905,0.00010641285626615596,0.5806183717706437,0.13689182304470515,,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,unconditional,lagged,20,4.6175497294561315e-05,-0.008187435868547739,-0.022835463231963546,0.005857452927539905,0.00010641285626615596,0.5806183717706437,0.13689182304470515,,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,unconditional,lagged,30,7.965306974005163e-05,-0.013234806737986384,-0.024871078952580554,0.006035089130932956,4.2437606918473385e-05,0.791302077768664,0.15420396847146933,,-0.009421942279291896,672,2511,24,62-85,83.07781973236105
weighted,unconditional,current,10,4.6175497294561315e-05,-0.008187435868547739,0.049261673177046064,0.005121343344300768,1.288628813504746e-20,-0.16580213830864798,0.13689182304470515,,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,unconditional,current,20,4.6175497294561315e-05,-0.008187435868547739,0.049261673177046064,0.005121343344300768,1.288628813504746e-20,-0.16580213830864798,0.13689182304470515,,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,unconditional,current,30,7.965306974005163e-05,-0.013234806737986384,0.05044546258987512,0.005270321104500112,1.9840332213195555e-20,0.011003333774503953,0.15420396847146933,,-0.009421942279291896,672,2511,24,62-85,83.07781973236105
unweighted,conditional,baseline,10,4.361366513735531e-06,-0.0014271336791093973,-0.05807197467731923,0.004609631425935394,7.804224295459492e-33,0.6834891420346747,0.051793176280378495,0.2041268576729388,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,conditional,baseline,20,4.361366513735531e-06,-0.0014271336791093973,-0.05807197467731923,0.004609631425935394,7.804224295459492e-33,0.6834891420346747,0.051793176280378495,0.2041268576729388,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
